iter	Passed	Remaining
0	141	141809
1	143	71642
2	144	48162
3	146	36455
4	147	29426
5	149	24726
6	150	21363
7	151	18837
8	153	16901
9	155	15380
10	157	14139
11	159	13117
12	162	12307
13	164	11586
14	166	10941
15	168	10364
16	170	9863
17	172	9402
18	173	8977
19	175	8585
20	176	8235
21	178	7917
22	179	7623
23	180	7355
24	182	7109
25	183	6878
26	185	6667
27	186	6474
28	187	6291
29	189	6123
30	190	5962
31	192	5810
32	193	5666
33	194	5534
34	196	5408
35	197	5293
36	199	5181
37	200	5081
38	202	4979
39	203	4881
40	204	4787
41	206	4700
42	207	4619
43	208	4538
44	210	4461
45	211	4388
46	212	4318
47	214	4249
48	215	4184
49	217	4124
50	218	4063
51	219	4004
52	221	3952
53	222	3898
54	224	3850
55	225	3804
56	226	3754
57	228	3707
58	229	3663
59	231	3621
60	232	3578
61	233	3537
62	235	3498
63	236	3459
64	237	3423
65	239	3386
66	240	3351
67	241	3316
68	243	3283
69	244	3250
70	245	3218
71	247	3188
72	248	3159
73	250	3132
74	251	3104
75	253	3077
76	254	3051
77	255	3024
78	257	2999
79	258	2976
80	260	2951
81	261	2928
82	262	2899
83	263	2877
84	265	2856
85	266	2834
86	268	2814
87	269	2797
88	271	2778
89	272	2759
90	274	2743
91	276	2727
92	277	2710
93	279	2691
94	280	2672
95	282	2656
96	283	2641
97	285	2628
98	286	2610
99	288	2593
100	289	2576
101	290	2561
102	292	2549
103	294	2534
104	295	2518
105	296	2504
106	298	2490
107	300	2478
108	301	2463
109	302	2449
110	304	2435
111	305	2421
112	306	2408
113	308	2397
114	310	2385
115	311	2374
116	312	2360
117	314	2349
118	315	2338
119	317	2326
120	318	2314
121	319	2301
122	321	2289
123	322	2277
124	323	2265
125	324	2253
126	326	2241
127	327	2231
128	329	2221
129	330	2211
130	331	2201
131	333	2190
132	334	2179
133	335	2169
134	337	2161
135	338	2152
136	340	2143
137	341	2134
138	343	2125
139	344	2116
140	345	2107
141	346	2095
142	348	2086
143	349	2077
144	350	2068
145	352	2062
146	353	2054
147	355	2047
148	357	2039
149	358	2031
150	359	2023
151	361	2018
152	364	2016
153	367	2018
154	370	2017
155	372	2014
156	373	2007
157	375	2002
158	377	1997
159	379	1990
160	380	1981
161	382	1976
162	383	1971
163	385	1965
164	387	1959
165	389	1954
166	390	1948
167	392	1943
168	394	1937
169	395	1931
170	397	1926
171	399	1920
172	400	1915
173	402	1910
174	404	1905
175	405	1900
176	407	1895
177	409	1889
178	410	1883
179	412	1879
180	414	1874
181	415	1869
182	417	1864
183	419	1858
184	420	1853
185	422	1847
186	423	1842
187	425	1837
188	427	1834
189	429	1829
190	430	1824
191	432	1818
192	433	1814
193	435	1809
194	437	1805
195	439	1801
196	440	1797
197	442	1792
198	444	1787
199	445	1783
200	447	1778
201	449	1774
202	450	1770
203	452	1766
204	454	1761
205	455	1757
206	457	1752
207	459	1749
208	461	1744
209	462	1741
210	464	1737
211	466	1734
212	468	1731
213	470	1727
214	472	1723
215	473	1720
216	476	1717
217	477	1713
218	479	1709
219	480	1704
220	482	1701
221	484	1698
222	486	1695
223	488	1691
224	490	1687
225	492	1685
226	493	1682
227	495	1679
228	497	1675
229	499	1672
230	501	1668
231	503	1665
232	504	1662
233	506	1658
234	508	1654
235	510	1652
236	512	1649
237	513	1644
238	515	1640
239	516	1636
240	518	1634
241	520	1630
242	521	1626
243	523	1622
244	525	1619
245	527	1616
246	529	1613
247	530	1609
248	532	1605
249	533	1601
250	535	1598
251	536	1593
252	538	1589
253	539	1585
254	541	1581
255	543	1578
256	545	1575
257	546	1572
258	548	1570
259	550	1567
260	552	1564
261	554	1560
262	555	1557
263	557	1554
264	559	1551
265	560	1547
266	562	1544
267	564	1540
268	565	1536
269	566	1532
270	568	1528
271	569	1523
272	570	1519
273	572	1515
274	573	1511
275	574	1507
276	575	1503
277	577	1499
278	578	1495
279	579	1491
280	581	1487
281	582	1483
282	584	1480
283	585	1476
284	586	1472
285	588	1469
286	589	1465
287	591	1461
288	592	1458
289	594	1454
290	595	1450
291	596	1446
292	597	1442
293	599	1439
294	600	1435
295	602	1431
296	603	1428
297	604	1424
298	606	1421
299	607	1417
300	608	1413
301	610	1410
302	611	1406
303	612	1402
304	614	1399
305	615	1395
306	616	1392
307	618	1388
308	619	1385
309	620	1381
310	622	1378
311	623	1375
312	625	1371
313	626	1368
314	627	1364
315	628	1361
316	630	1357
317	631	1354
318	632	1351
319	634	1347
320	635	1344
321	637	1341
322	638	1338
323	639	1334
324	641	1331
325	642	1328
326	643	1324
327	645	1321
328	646	1318
329	647	1314
330	648	1311
331	650	1308
332	651	1305
333	653	1302
334	654	1299
335	655	1296
336	657	1292
337	658	1289
338	659	1286
339	660	1283
340	662	1279
341	663	1276
342	664	1273
343	666	1270
344	667	1267
345	669	1264
346	670	1261
347	671	1258
348	672	1255
349	674	1251
350	675	1248
351	677	1246
352	678	1244
353	680	1240
354	681	1238
355	682	1235
356	684	1232
357	685	1229
358	687	1226
359	688	1224
360	689	1221
361	691	1218
362	692	1214
363	693	1212
364	695	1209
365	696	1206
366	698	1204
367	699	1201
368	700	1198
369	702	1195
370	703	1192
371	704	1189
372	706	1187
373	707	1184
374	708	1181
375	709	1178
376	711	1175
377	712	1172
378	713	1169
379	715	1166
380	716	1163
381	717	1161
382	719	1158
383	720	1155
384	721	1152
385	723	1150
386	724	1147
387	725	1145
388	727	1142
389	728	1139
390	729	1137
391	731	1134
392	732	1131
393	733	1128
394	735	1126
395	736	1123
396	737	1120
397	739	1118
398	740	1115
399	742	1113
400	743	1110
401	744	1108
402	746	1105
403	747	1102
404	748	1100
405	750	1097
406	751	1094
407	752	1091
408	753	1089
409	755	1086
410	756	1084
411	757	1081
412	759	1080
413	761	1077
414	762	1075
415	763	1072
416	765	1069
417	766	1067
418	767	1064
419	769	1062
420	770	1059
421	772	1057
422	773	1054
423	774	1052
424	775	1049
425	777	1046
426	778	1044
427	779	1041
428	780	1039
429	781	1036
430	783	1033
431	784	1031
432	785	1028
433	786	1026
434	787	1023
435	789	1020
436	790	1018
437	791	1015
438	792	1013
439	794	1010
440	795	1008
441	796	1005
442	797	1002
443	798	1000
444	800	997
445	801	995
446	802	992
447	803	990
448	805	988
449	806	985
450	807	983
451	808	980
452	810	978
453	811	975
454	812	973
455	813	970
456	814	968
457	816	965
458	817	963
459	818	961
460	820	958
461	821	956
462	823	954
463	824	952
464	825	950
465	826	947
466	828	945
467	829	942
468	830	940
469	831	938
470	833	935
471	834	933
472	836	931
473	837	929
474	838	926
475	839	924
476	840	921
477	841	919
478	843	917
